match,decision,turn,seat,agent,action,value,complete,decision_seconds,decision_limit_seconds,deadline_hit,lethal_proof_seconds,total_search_seconds,first_found_seconds,stabilized_seconds,remaining_search_seconds,strategy_wave,strategy_focus_position,strategy_focus_count
1,0,,0,mega_starmie,"{""kind"":""choose_start"",""parts"":[41]}",0.0,True,0.0001561000244691968,,False,,0.0001561000244691968,,,,,,
1,1,,0,mega_starmie,"{""kind"":""mulligan"",""parts"":[42]}",0.0,True,0.0003677000058814883,,False,,0.0003677000058814883,,,,,,
1,2,,1,mega_starmie,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.00044239999260753393,,False,,0.00044239999260753393,,,,,,
1,3,,0,mega_starmie,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.00040850002551451325,,False,,0.00040850002551451325,,,,,,
1,4,,1,mega_starmie,"{""kind"":""setup_bench_decline"",""parts"":[2]}",0.0,True,0.0002125999890267849,,False,,0.0002125999890267849,,,,,,
1,5,1,1,mega_starmie,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":1122,\""playerIndex\"":1}]]]""]}",0.8300000000000002,False,96.59161890001269,120.0,False,0.4059999999590218,96.10899999999674,66.89000000001397,66.89000000001397,29.21899999998277,first,2,3
2,0,,0,mega_starmie,"{""kind"":""choose_start"",""parts"":[41]}",0.0,True,0.00016739999409765005,,False,,0.00016739999409765005,,,,,,
2,1,,1,mega_starmie,"{""kind"":""mulligan"",""parts"":[42]}",0.0,True,0.00033900002017617226,,False,,0.00033900002017617226,,,,,,
2,2,,1,mega_starmie,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.00024850002955645323,,False,,0.00024850002955645323,,,,,,
2,3,,0,mega_starmie,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.00029039999935775995,,False,,0.00029039999935775995,,,,,,
2,4,1,1,mega_starmie,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":1122,\""playerIndex\"":1}]]]""]}",0.5645714285714284,True,0.3804260999895632,120.0,False,0.01600000000325963,0.2970000000204891,0.26600000000325963,0.26600000000325963,0.031000000017229468,first,1,3
2,5,1,1,mega_starmie,"{""kind"":""card"",""parts"":[""[1,{\""playerIndex\"":1,\""type\"":3},[[12,{\""id\"":1225,\""playerIndex\"":1}]]]""]}",0.9495714285714285,True,0.28838460001861677,120.0,False,0.0779999999795109,0.18700000003445894,0.10899999999674037,0.10899999999674037,0.07800000003771856,widening,,0
2,6,1,1,mega_starmie,"{""kind"":""attach"",""parts"":[""[1,{\""type\"":8},[[2,{\""id\"":3,\""playerIndex\"":1}],[4,{\""appearThisTurn\"":true,\""energies\"":[],\""energyCards\"":[],\""hp\"":160,\""id\"":666,\""maxHp\"":160,\""playerIndex\"":1,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",0.5212380952380952,True,0.11780060001183301,120.0,False,0.01600000000325963,0.062000000034458935,0.0470000000204891,0.0470000000204891,0.015000000013969839,first,1,2
2,7,,1,mega_starmie,"{""kind"":""forced_selection"",""parts"":[0]}",0.0,True,0.0019931999850086868,120.0,False,,0.0019931999850086868,,,,,,
2,8,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1122,\""playerIndex\"":0}]]]""]}",100.0870423992003,True,60.82836420001695,120.0,False,0.34299999999348074,60.40600000001723,60.125,60.125,0.28100000001722947,first,2,4
2,9,2,0,mega_starmie,"{""kind"":""card"",""parts"":[""[0,{\""playerIndex\"":0,\""type\"":3},[[12,{\""id\"":1227,\""playerIndex\"":0}]]]""]}",1.631238479355779,True,13.120466299995314,120.0,False,0.3119999999762513,12.78100000001723,8.561999999976251,8.561999999976251,4.219000000040978,widening,,0
2,10,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1145,\""playerIndex\"":0}]]]""]}",1.3022324187497178,True,8.08620839996729,120.0,False,0.29599999997299165,7.76600000000326,7.094000000040978,7.094000000040978,0.6719999999622814,first,1,4
2,11,2,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":1031,\""playerIndex\"":0}]]]""]}",1.4622324187497182,True,6.519901099964045,120.0,False,0.3279999999795109,6.1560000000172295,4.1560000000172295,4.1560000000172295,2.0,widening,,0
2,12,2,0,mega_starmie,"{""kind"":""attach"",""parts"":[""[0,{\""type\"":8},[[2,{\""id\"":3,\""playerIndex\"":0}],[4,{\""appearThisTurn\"":false,\""energies\"":[],\""energyCards\"":[],\""hp\"":70,\""id\"":1030,\""maxHp\"":70,\""playerIndex\"":0,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",0.8622324187497179,True,3.7156386999995448,120.0,False,0.28200000000651926,3.4070000000065193,1.4849999999860302,1.4849999999860302,1.922000000020489,first,3,4
2,13,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1120,\""playerIndex\"":0}]]]""]}",0.6462324187497178,True,1.3439353999565355,120.0,False,0.28200000000651926,1.0320000000065193,1.0320000000065193,1.0320000000065193,0.0,widening,,2
2,14,2,0,mega_starmie,"{""kind"":""attack"",""parts"":[""[0,{\""attackId\"":1486,\""type\"":13},[]]""]}",0.29217304504800856,True,0.44484260003082454,120.0,False,0.06299999996554106,0.375,0.18700000003445894,0.18700000003445894,0.18799999996554106,first,,2
2,15,3,1,mega_starmie,"{""kind"":""attack"",""parts"":[""[1,{\""attackId\"":965,\""type\"":13},[]]""]}",0.5685942575074183,True,2.7985472999862395,120.0,False,0.26600000000325963,2.5,0.15600000001722947,0.15600000001722947,2.3439999999827705,first,,0
2,16,3,1,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":1,\""type\"":3},[[1,{\""id\"":3,\""playerIndex\"":1}]]]""]}",0.0,True,0.423809900006745,120.0,False,0.06300000002374873,0.3279999999795109,0.3279999999795109,0.3279999999795109,0.0,widening,,0
2,17,,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1086,\""playerIndex\"":0}]]]""]}",0.0,True,0.30026980000548065,120.0,False,0.26600000000325963,0.30026980000548065,,,,,,
2,18,,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":1030,\""playerIndex\"":0}]]]""]}",0.0,True,0.2940806999686174,120.0,False,0.2649999999557622,0.2940806999686174,,,,,,
2,19,,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1145,\""playerIndex\"":0}]]]""]}",0.0,True,0.14527280000038445,120.0,False,0.125,0.14527280000038445,,,,,,
